Dataset,Initial Algorithm,Removal Heuristic,Insertion Algorithm,Optimal Value,Average Processing Time
eil51.tsp,Farthest_Insertion_INI,Related_Removal,Regret_3_Heuristic,462,0.007570815
eil51.tsp,Farthest_Insertion_INI,Related_Removal,Regret_N_Heuristic,470,0.007863879
eil51.tsp,Farthest_Insertion_INI,Related_Removal,Greedy_Insertion,462,0.007463789
eil51.tsp,Farthest_Insertion_INI,Related_Removal,Best_Insertion,462,0.007495022
eil51.tsp,Farthest_Insertion_INI,Related_Removal,Cheapest_Insertion,462,0.007670021
eil51.tsp,Farthest_Insertion_INI,Related_Removal,Nearest_Insertion,462,0.007690907
eil51.tsp,Farthest_Insertion_INI,Related_Removal,Random_Insertion,470,0.007218003
eil51.tsp,Farthest_Insertion_INI,Related_Removal,farthest_insertion,462,0.007545495
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,Basic_Insertion,467,0.007322288
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,Regret_2_Heuristic,462,0.007323623
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,Regret_3_Heuristic,462,0.007336712
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,Regret_N_Heuristic,462,0.007411981
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,Greedy_Insertion,467,0.007263398
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,Best_Insertion,468,0.007342315
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,Cheapest_Insertion,470,0.007473683
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,Nearest_Insertion,462,0.007631421
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,Random_Insertion,470,0.006999803
eil51.tsp,Farthest_Insertion_INI,Route_Based_Removal,farthest_insertion,467,0.007461619
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,Basic_Insertion,481,0.016411591
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,Regret_2_Heuristic,473,0.016470575
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,Regret_3_Heuristic,476,0.01643157
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,Regret_N_Heuristic,482,0.016568398
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,Greedy_Insertion,479,0.016432595
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,Best_Insertion,473,0.016277695
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,Cheapest_Insertion,479,0.016294694
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,Nearest_Insertion,473,0.016637111
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,Random_Insertion,476,0.015953398
eil51.tsp,Cheapest_Insertion_Ini,Random_Removal,farthest_insertion,479,0.016524005
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,Basic_Insertion,482,0.016879416
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,Regret_2_Heuristic,482,0.016860509
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,Regret_3_Heuristic,482,0.01670711
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,Regret_N_Heuristic,482,0.017028809
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,Greedy_Insertion,482,0.016708374
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,Best_Insertion,482,0.016694713
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,Cheapest_Insertion,482,0.016789222
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,Nearest_Insertion,482,0.017074919
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,Random_Insertion,482,0.016395688
eil51.tsp,Cheapest_Insertion_Ini,Worst_Removal,farthest_insertion,482,0.016935492
eil51.tsp,Cheapest_Insertion_Ini,Shaw_Removal,Basic_Insertion,475,0.016572714
